date,code,name,close,ma20,momentum,trend_up,selected
2024-10-04,510880,红利ETF,3.114,2.6976,15.5,True,False
2024-10-04,513500,标普500ETF,1.908,1.942,-3.34,False,False
2024-10-04,513180,恒生科技ETF,0.643,0.4972,37.98,True,True
2024-10-04,510300,沪深300ETF,4.022,3.1876,28.25,True,True
2024-10-11,518880,黄金ETF,5.739,5.6324,5.05,True,False
2024-10-11,510880,红利ETF,2.941,2.7525,9.25,True,False
2024-10-11,513500,标普500ETF,1.967,1.9344,2.5,True,False
2024-10-11,513180,恒生科技ETF,0.616,0.5291,31.34,True,True
2024-10-11,510300,沪深300ETF,3.766,3.343,21.02,True,True
2024-10-18,518880,黄金ETF,5.945,5.7214,7.27,True,False
2024-10-18,510880,红利ETF,2.967,2.8385,15.99,True,False
2024-10-18,513500,标普500ETF,2.027,1.9636,6.74,True,False
2024-10-18,513180,恒生科技ETF,0.618,0.5646,32.9,True,True
2024-10-18,510300,沪深300ETF,3.805,3.5104,25.04,True,True
2024-10-25,518880,黄金ETF,5.998,5.8251,5.92,True,False
2024-10-25,510880,红利ETF,2.939,2.931,13.52,True,False
2024-10-25,513500,标普500ETF,1.991,1.9766,1.07,True,False
2024-10-25,513180,恒生科技ETF,0.613,0.598,24.09,True,True
2024-10-25,510300,沪深300ETF,3.829,3.706,25.01,True,True
2024-11-01,518880,黄金ETF,6.051,5.9137,6.01,True,True
2024-11-01,510880,红利ETF,2.89,2.9577,-0.1,False,False
2024-11-01,513500,标普500ETF,1.971,1.9894,2.71,False,False
2024-11-01,513180,恒生科技ETF,0.606,0.6179,3.41,False,False
2024-11-01,510300,沪深300ETF,3.768,3.8204,3.01,False,False
2024-11-08,518880,黄金ETF,5.898,5.9781,2.77,False,False
2024-11-08,510880,红利ETF,2.941,2.9394,0.0,True,False
2024-11-08,513500,标普500ETF,2.063,2.01,4.88,True,True
2024-11-08,513180,恒生科技ETF,0.639,0.6162,3.73,True,False
2024-11-08,510300,沪深300ETF,3.983,3.82,5.76,True,True
2024-11-15,518880,黄金ETF,5.683,5.955,-4.41,False,False
2024-11-15,510880,红利ETF,2.885,2.919,-2.76,False,False
2024-11-15,513500,标普500ETF,2.088,2.0288,3.01,True,True
2024-11-15,513180,恒生科技ETF,0.595,0.6167,-3.72,False,False
2024-11-15,510300,沪深300ETF,3.844,3.8701,1.02,False,False
2024-11-22,518880,黄金ETF,6.01,5.9215,0.2,True,True
2024-11-22,510880,红利ETF,2.857,2.9105,-2.79,False,False
2024-11-22,513500,标普500ETF,2.128,2.0564,6.88,True,True
2024-11-22,513180,恒生科技ETF,0.583,0.6127,-4.89,False,False
2024-11-22,510300,沪深300ETF,3.742,3.8715,-2.27,False,False
2024-11-29,518880,黄金ETF,5.923,5.8751,-2.12,True,False
2024-11-29,510880,红利ETF,2.916,2.9082,0.9,True,True
2024-11-29,513500,标普500ETF,2.182,2.101,10.71,True,True
2024-11-29,513180,恒生科技ETF,0.594,0.6058,-1.98,False,False
2024-11-29,510300,沪深300ETF,3.79,3.8625,0.58,False,False
2024-12-06,518880,黄金ETF,5.903,5.865,0.08,True,False
2024-12-06,510880,红利ETF,3.017,2.9179,2.58,True,True
2024-12-06,513500,标普500ETF,2.228,2.1527,8.0,True,True
